What sport do play? How long have you played that sport?,What's the best sport?,What sports do you play?
"Shooting, a year or two.",Tennis,Shooting.
"Badminton, 2.5 years",Football,Badminton
,Basketball,none
Cricket. 7 years.,Football,"football, basketball, cricket"
"Tennis, 4 years",Tennis,Tennis
badminton - 3 years,Tennis,badminton
Soccer. 5 years.,Soccer,Soccer
"Swimming, around 3 years now",Tennis,Swimming
,Soccer,Basketball
Chess 8 years,Tennis,Chess
swimming for 4 years,Soccer,Swim
"Soccer, 6 years. ",Soccer,Futbol
"ski, 8 years",Soccer,tennis and ski
I don't play a sport.,Tennis,
"Cricket, 2 years ",Tennis,"Tennis, Cricket"
"Rowing, half a year.",Soccer,Rowing.
"Badminton, 4 years",Tennis,Badminton
Squash - 5 years,Tennis,Squash
Dance- 11 years,Basketball,dance 
"Badminton, for 8 years",Tennis,Badminton
football for 2 years,Football,football basketball
Soccer - 11 years,Soccer,Soccer
no sport,Soccer,none
,Soccer,
"Swim, for 9 years",Basketball,Swimming
Badminton sometimes for fun,Tennis,Badminton
i don’t play a sport but ive danced basically all my life,Basketball,I don’t play a sport
badminton-3yrs,Basketball,badminton
I don't play sports,Football,football
"swimming, 5 years",Basketball,swimming
"long distance running 2 years, tennis, 1 year",Tennis,run and tennis
taekwondo: 7 years,Tennis,taekwondo
Tennis 3 years,Soccer,Tennis
"Softball, 6 years",Football,Softball
,Soccer,Gym
"basketball, 2 years",Basketball,basketball
"Soccer, 3 years",Soccer,Soccer
"Tennis, for most of my life.",Tennis,Tennis
fencing 1year,,
I don't play sports.,Basketball,
"Swimming, 10 years",Basketball,"Swimming, Basketball"
No sport,Basketball,
Tennis 2 years,Football,tennis
"soccer, almost 6 years??",Soccer,soccer
soccer - 6 years,Soccer,soccer
I've been playing badminton and tennis for three years.,Tennis,"badminton, tennis, basketball"
swimming for 10 yrs,Soccer,swim
"Rock climbing, 5 years",Tennis,"Rock climbing, table tennis, a little bit of skiing, fencing"
"Badminton, 2 years ",Tennis,Badminton 
I play tennis and basketball. I have played tennis for 3 years and basketball for 6 years,Tennis,"Tennis, football, and basketball"
swim 3 years,Basketball,swim
Swim - 8-years ,Basketball,swim/bball
Karate for 11 years,Basketball,Karate
Swim 8,Basketball,swim
"Fencing, about a year",Soccer,Fencing
Swimming 5 years,Soccer,Swimming
Rowing for 1 year.,Basketball,Basketball
snowboard,Tennis,tennis 
Badminton for 2 years,Football,Badminton
basketball 5 years,Soccer,Basketball
Volleyball-2 years,Tennis,"Volleyball, badminton, soccer, Track"
Swimming Around 5 years,Tennis,Swimming
"Football, 4 years",Football,Football and Basketball
Karate - 7 Years,Basketball,"Karate, Cricket"
"Soccer, for about 2-3 years.",Soccer,Soccer
Dance for 10 years,Basketball,none
"Skiiing, 3 years",Football,Soccer and skiing
I play basketball and soccer. I have played basketball for 3 years and soccer for 1 year.,Soccer,Basketball and soccer
baseketball(3years),Basketball,Basketball
"Rowing, 1.5 years",Tennis,Rowing
Running for 5 years,Soccer,Running
No sport,Soccer,
MMA -- 6 years,Tennis,"MMA, volleyball, skateboarding, skiing, tennis, pickle ball, biking, track and, cross country."
"Soccer, 12 years",Soccer,Soccer
i don't play any sports,Soccer,none
I have been Rock Climbing for 3.5 years.,Basketball,Rock Climb
"Badminton, 5 years",Tennis,Badminton
I don't play any sports. ,Basketball,Basketball
basketball for about 4 years and dance for almost 10 years,Basketball,dance-yes its a sport and basketball
Basketball 5 years,Basketball,Basketball
"Soccer, since middle school",Soccer,soccer
rugby 4 years,Football,Rugby 
"Cross country, Badminton, used to do tennis. ive done cross country since 7th grade and i don't know when i started badminton.",Tennis,Cross country badminton i used to play tennis
tennis for 9 years,Tennis,most racket sports
basketball for 2 years,Basketball,bball
"Tennis, for 8 years",Tennis,Tennis
"Badminton, 4 years ",Tennis,Badminton 
mountain biking,Soccer,mountain biking
"I play badminton and go skiing. I have played badminton for about a year, and skiing for about two years.",Tennis,I like to play badminton and go skiing.
Fencing ~1 year,Soccer,Fencing
"I used to play basketball, for 3 years",Football,used to play basketball
Badminton - 9 yrs,Soccer,"soccer, badminton"
"Table Tennis, 2 Years",Tennis,"Table Tennis, Badminton"
"Swim, for fun 9 years/competitively 7 years/",Basketball,Swimming
"Soccer and Swimming, soccer for about 10 years swimming for about 6 years",Soccer,"Soccer, Swimming"
5 years basketball,Basketball,basketball 
Basketball 2y,Basketball,Basketball 
"Gymnastics, 10 years",Soccer,Gymnastics
"Running, 4 years",Soccer,Dance/Running
I play Basketball and played it for 5 years.,Basketball,"soccer, basketball, football"
"Basketball, I have played for 3 years",Basketball,Basketball
None.,Football,None.
no sports,Tennis,none
